StudentID,Name,Electronics,Programming,Database,Data Science,Mathematics,DSA
1,Joanna Perry,44,77,71,68,35,75
2,Aditya Verma,65,60,74,44,68,79
3,Mario Gonzalez,62,60,67,84,80,85
4,Priya Mehta,35,33,74,32,97,43
5,Ananya Nair,53,95,38,91,64,79
6,James Ward,33,50,46,44,36,77
7,Ishika Singh,54,40,54,86,65,97
8,Priya Singh,94,91,41,68,69,59
9,Siddharth Verma,97,81,32,88,80,77
10,Sandra Knight,100,76,61,97,64,78
11,Taylor Vang,72,75,81,41,89,88
12,Aditya Reddy,30,79,89,59,62,65
13,Tina Levine,39,36,49,51,39,81
14,Ananya Mehta,86,84,50,36,44,74
15,Vivaan Singh,73,69,88,71,90,54
16,Aarav Iyer,42,35,96,54,56,51
17,Priya Patel,91,92,91,100,31,36
18,Vivaan Reddy,64,58,60,54,92,91
19,Amy Patel,76,79,55,30,86,76
20,Aditya Choudhary,97,98,50,45,42,95
21,Priya Mehta,59,52,43,50,91,31
22,Karan Gupta,94,88,85,69,34,89
23,Michael Gardner,100,82,88,55,90,80
24,Andre Duran,88,56,55,53,51,56
25,Christina Everett,61,71,61,41,30,62
26,Pamela Clay,85,88,72,82,84,87
27,Ishika Reddy,61,81,44,34,54,32
28,Aarav Iyer,99,30,65,88,37,62
29,Cody Ramos,46,83,86,71,42,33
30,Drew White,59,92,41,62,64,35
31,Vivaan Mehta,45,55,52,70,76,42
32,Leslie Reed,42,66,54,70,75,43
33,Angela Miller,88,37,69,32,83,80
34,Melissa Williams MD,44,82,55,31,81,49
35,Aarav Iyer,64,84,75,47,42,66
36,Priya Gupta,33,85,82,95,70,99
37,Priya Iyer,89,49,66,64,78,42
38,Karan Sharma,97,65,83,95,92,82
39,Jacqueline Mays,54,99,41,39,79,96
40,Wayne White,98,44,66,41,46,37
41,Priya Mehta,57,46,98,71,81,42
42,Vivaan Sharma,34,72,55,76,64,83
43,Robert Jackson,73,61,30,72,30,46
44,Karan Gupta,100,72,62,67,93,66
45,Aditya Gupta,39,53,52,31,41,39
46,Priya Choudhary,30,45,35,30,87,74
47,Steven Hess,67,53,98,98,55,94
48,Aaron Smith,53,98,74,38,36,58
49,Riya Verma,85,98,93,59,49,60
50,Darlene Taylor DDS,74,44,41,33,96,64
51,Joan Hernandez,43,52,47,44,89,94
52,Riya Sharma,70,93,95,97,78,65
53,Kristen Gates,71,70,33,36,41,82
54,Rahul Verma,38,73,96,97,97,78
55,Ananya Sharma,42,86,92,78,84,44
56,Keith Perkins,51,33,42,48,57,78
57,Kristin Taylor,37,37,79,38,61,42
58,Riya Singh,89,34,60,50,31,49
59,Andrew Fields,77,50,100,42,89,63
60,Siddharth Sharma,56,86,88,69,42,82
61,Ryan Morris,43,94,92,76,34,59
62,Leslie Roberts,40,56,97,50,71,84
63,Kimberly Edwards,97,35,58,62,84,97
64,Jose Hernandez,66,37,87,90,88,32
65,Rahul Reddy,70,35,44,30,65,35
66,Riya Nair,88,49,100,60,51,75
67,Tina Parker,55,35,34,100,98,99
68,Ishika Sharma,59,82,93,54,89,43
69,Rahul Sharma,93,42,80,57,47,36
70,Ishika Singh,45,41,42,95,76,54
71,Karan Choudhary,55,61,62,43,81,96
72,Vivaan Choudhary,31,61,74,35,35,67
73,Ananya Reddy,60,37,61,38,81,78
74,Aditya Gupta,42,79,98,46,99,41
75,Dr. Austin Thompson DVM,33,63,96,45,42,37
76,Ashley Jackson,83,44,33,90,62,68
77,Ananya Nair,74,33,71,37,79,76
78,Carolyn Barnes,34,90,72,55,99,49
79,Tyler Baker,57,65,39,39,51,68
80,Vivaan Choudhary,45,45,52,58,80,52
81,Priya Verma,77,42,81,45,76,69
82,Aditya Verma,31,89,97,54,70,93
83,Ishika Reddy,47,41,46,36,99,90
84,Dr. Erica Rose DDS,90,63,62,45,42,84
85,Tina Griffin,85,31,88,40,41,43
86,Mrs. Gina Holt,83,69,71,74,33,44
87,Aditya Nair,69,83,99,71,81,40
88,Vivaan Gupta,37,96,73,71,71,32
89,Karan Gupta,96,76,88,42,94,71
90,Vivaan Iyer,81,54,34,41,56,76
91,Kelly Jones,69,90,43,82,58,39
92,Aditya Iyer,57,85,84,74,71,35
93,Kelly Robbins,50,64,48,31,40,30
94,Karen Foster,88,60,47,50,75,52
95,Rahul Verma,76,41,38,35,50,89
96,Jill Kirk,80,55,95,64,86,87
97,Michelle Munoz,30,35,78,71,72,70
98,Siddharth Choudhary,40,31,37,48,53,55
99,Siddharth Sharma,30,70,36,81,83,60
100,Ishika Sharma,78,33,76,42,33,92
101,Aarav Verma,39,95,32,36,57,33
102,Laura Gonzalez,40,100,42,89,49,40
103,Riya Sharma,37,94,92,83,59,82
104,Catherine Nelson,41,56,34,31,33,64
105,Ishika Iyer,91,58,77,61,97,96
106,Riya Iyer,32,79,66,75,82,49
107,Ishika Mehta,87,58,47,35,40,51
108,Catherine Stevenson,30,62,90,48,90,99
109,Cynthia Long,40,58,90,30,79,89
110,Vivaan Patel,70,74,60,58,71,45
111,Ruth Morse,52,76,85,89,97,60
112,Dorothy Jordan,91,89,61,76,57,52
113,Vivaan Gupta,45,71,30,64,54,64
114,Ryan Smith,65,45,40,42,32,46
115,Ishika Reddy,45,33,39,72,98,96
116,Eduardo Simpson,59,59,71,37,82,41
117,Karan Patel,77,52,67,70,87,68
118,Aarav Verma,68,42,58,87,61,71
119,Siddharth Reddy,35,59,58,67,72,86
120,Riya Gupta,69,49,69,63,67,79
121,Riya Gupta,96,62,62,47,63,86
122,Riya Iyer,66,58,46,87,50,31
123,Misty Martin,89,45,97,85,33,58
124,Karan Singh,91,44,76,52,42,81
125,Riya Choudhary,94,36,89,50,62,60
126,Rahul Mehta,72,71,85,46,63,45
127,Matthew Farmer,52,62,39,99,93,44
128,Vivaan Choudhary,74,44,70,32,95,45
129,Samantha Hull,91,75,50,34,59,41
130,Karan Singh,47,67,43,55,87,54
131,Gregory Burch,44,74,55,50,51,46
132,Ananya Singh,83,81,62,47,100,72
133,Rahul Mehta,81,65,69,85,64,78
134,Matthew Turner,70,62,79,50,93,56
135,Joseph Stevens,66,68,49,45,78,45
136,Rahul Nair,73,96,52,63,70,84
137,Rose Cameron,66,70,73,85,69,94
138,Siddharth Patel,100,54,82,89,35,48
139,Vivaan Verma,93,59,77,52,43,73
140,Ananya Verma,48,31,38,48,62,58
141,Aarav Reddy,68,43,35,91,45,63
142,Priya Nair,62,98,62,77,33,42
143,Aarav Singh,94,100,70,89,49,54
144,Andrew Carey IV,85,94,34,67,71,86
145,Wayne Thomas,76,45,65,70,52,44
146,Katie Turner,61,97,88,90,75,49
147,Jennifer Perez,36,35,48,70,58,79
148,Vivaan Nair,69,92,74,41,87,100
149,Vivaan Iyer,39,90,34,59,59,99
150,Vivaan Mehta,58,32,83,45,57,34
151,Rahul Nair,50,44,78,90,89,52
152,Priya Gupta,98,87,100,90,64,82
153,Rahul Singh,63,80,86,86,44,80
154,Vivaan Sharma,42,97,97,96,72,63
155,Thomas Townsend,98,86,60,38,70,90
156,Tonya Adams,40,92,69,66,76,96
157,Siddharth Sharma,97,79,70,68,83,93
158,Richard Grant,66,81,65,30,39,50
159,Adam Case,36,87,54,45,82,73
160,Samantha Thompson,84,46,42,73,68,74
161,Vivaan Mehta,32,98,88,66,57,88
162,Ananya Choudhary,88,34,36,52,92,40
163,Michael Smith,30,35,44,74,81,94
164,Ishika Singh,46,31,47,60,56,33
165,Ishika Mehta,39,46,53,58,53,49
166,Rahul Mehta,35,88,41,30,55,38
167,Dennis Ramirez,55,67,58,93,55,83
168,Sara Wilson,88,69,86,34,80,37
169,Daniel Harris,70,55,55,70,82,35
170,Kathryn Quinn,65,38,88,58,63,56
171,Siddharth Singh,70,67,78,70,70,65
172,Joanna Cruz,47,80,50,54,91,40
173,Taylor Davis,35,98,32,87,54,67
174,Robert Hernandez,68,84,32,62,39,31
175,Blake Romero,31,79,49,73,83,63
176,Natalie Shelton,36,35,85,56,73,82
177,Anthony Martinez,32,42,100,37,35,49
178,Katie Morris,68,38,44,36,66,77
179,John Wright,93,95,60,43,47,76
180,Ananya Iyer,66,31,31,66,65,68
181,Vivaan Nair,39,55,85,46,73,93
182,Aditya Verma,72,40,65,61,60,96
183,Karan Reddy,44,68,87,70,66,83
184,Michael Callahan,46,87,100,41,54,82
185,Aarav Iyer,73,30,38,41,51,34
186,Karan Mehta,94,93,46,60,99,78
187,Ishika Gupta,55,62,73,52,41,44
188,Samantha Henry,31,34,82,96,32,78
189,Aditya Verma,39,82,100,68,41,72
190,Ananya Gupta,31,98,37,31,43,89
191,Vivaan Mehta,53,40,88,42,46,50
192,Felicia Gill,42,70,32,100,99,57
193,Diane Jackson,70,40,74,48,90,51
194,Maria Carter,40,64,34,38,61,57
195,Spencer Williams,71,55,92,86,85,87
196,Jack Lee,48,100,80,36,86,100
197,John Anderson,86,72,46,92,73,95
198,Ananya Mehta,32,51,33,73,74,32
199,Aarav Gupta,49,55,56,57,83,91
200,Cameron Barry,54,98,86,94,57,31
201,Veronica Taylor,48,39,68,30,64,91
202,Mr. Adrian Lawrence,89,91,38,82,40,69
203,Aarav Singh,81,66,81,60,72,90
204,Lisa Cox,32,57,97,89,76,52
205,George Harris,97,58,48,51,48,89
206,Ananya Reddy,71,45,46,30,48,67
207,Kent Brewer,30,30,75,89,33,62
208,Matthew Brock,84,45,99,57,57,69
209,Riya Gupta,81,31,44,33,50,51
210,Ananya Iyer,99,35,32,96,41,71
211,Rebecca Bennett,48,66,80,63,76,57
212,Ananya Choudhary,66,38,73,64,50,88
213,Matthew Wright,46,77,76,73,38,54
214,Rahul Choudhary,96,82,98,47,49,100
215,Aditya Mehta,92,35,51,90,38,46
216,Aarav Sharma,37,90,98,66,68,33
217,Eric Lopez,88,92,94,59,80,35
218,Vivaan Reddy,98,91,56,72,53,46
219,Rahul Iyer,96,86,55,33,79,83
220,Priya Singh,53,99,89,32,35,66
221,Brian Johnson,97,57,49,84,64,81
222,Alexis Ramos,82,97,93,54,49,56
223,Karan Mehta,40,80,45,56,67,84
224,John Hernandez,46,65,37,63,89,98
225,Siddharth Reddy,96,45,61,53,31,93
226,Rahul Nair,87,95,96,50,100,91
227,Thomas Rodriguez,48,98,48,67,66,77
228,Aarav Mehta,32,87,99,54,56,77
229,William Evans,64,100,90,85,89,95
230,Jonathan Keith,83,96,45,31,99,94
231,Robert Richardson,98,94,39,87,32,73
232,Aditya Singh,52,77,97,64,34,50
233,Rahul Singh,51,36,54,31,31,83
234,Kevin Watts,83,74,87,63,42,31
235,Sandra Wilson,49,53,74,96,73,72
236,Samantha Mayer,78,76,94,90,65,83
237,Aarav Singh,98,43,89,40,99,86
238,Karan Sharma,96,45,67,42,35,74
239,Vivaan Mehta,43,74,68,34,39,35
240,Ishika Iyer,57,74,81,74,80,49
241,Vivaan Choudhary,31,93,60,51,46,60
242,Riya Verma,63,73,39,41,62,47
243,Aarav Mehta,86,49,72,59,98,67
244,Miss Jessica Lee,92,39,54,83,75,41
245,Vivaan Sharma,54,64,59,34,51,68
246,Vivaan Verma,69,64,53,34,47,47
247,Riya Singh,59,45,77,89,67,99
248,Rachel Brown,59,82,51,31,42,57
249,Siddharth Choudhary,75,48,43,81,30,51
250,Rahul Sharma,96,50,72,78,100,36
251,Erika Robbins,52,45,42,79,81,84
252,Ishika Reddy,96,74,63,47,36,79
253,Karan Choudhary,67,72,75,95,76,31
254,Riya Nair,42,57,50,63,72,32
255,Mark Hart,73,100,85,89,68,98
256,Sara White,88,52,48,58,48,84
257,Vivaan Verma,74,99,89,44,95,62
258,Sherry Smith,55,75,32,30,88,40
259,Martin Smith,37,33,47,62,71,38
260,Steven Henderson,61,99,68,60,42,91
261,Aditya Verma,40,55,55,86,60,73
262,Dana Moses,57,97,97,88,82,42
263,Ryan Stevens,71,45,76,73,90,75
264,Ananya Gupta,99,84,80,59,85,51
265,Rahul Singh,42,65,48,82,60,80
266,William Webb,79,89,74,57,99,66
267,Rahul Gupta,51,76,91,41,95,93
268,Taylor Miller,30,70,31,100,51,92
269,Dennis Sanchez,73,35,37,54,92,43
270,Jennifer Woods,56,78,50,88,76,92
271,Aditya Patel,47,97,56,85,65,34
272,Tricia Johnson,81,61,65,94,92,90
273,Priya Sharma,53,58,60,88,82,98
274,Erica Ruiz,89,95,71,64,60,89
275,Rahul Choudhary,76,30,37,54,79,30
276,Amy Moore,42,94,43,66,82,72
277,Siddharth Patel,86,45,50,45,76,90
278,Robert Santos,82,61,56,40,47,86
279,Aditya Choudhary,34,65,77,62,40,47
280,Aarav Patel,55,84,73,74,97,73
281,Sarah Arellano,85,82,38,62,43,96
282,Gabriel Richardson,61,89,88,48,40,93
283,Ananya Mehta,84,41,80,33,87,85
284,Lisa Thomas,84,64,74,76,65,92
285,Aarav Reddy,66,66,60,59,59,39
286,Jennifer George,78,70,93,74,84,81
287,Austin Bryan,50,88,44,63,92,38
288,Aarav Mehta,90,96,92,67,39,73
289,Ananya Gupta,81,33,76,76,78,95
290,Nicole Humphrey PhD,59,41,30,95,58,100
291,Aarav Patel,60,38,41,79,52,62
292,Jeffrey Warren,35,45,91,57,38,100
293,Donald Fitzgerald,70,77,91,37,81,72
294,Karen Smith,72,79,60,77,41,70
295,Siddharth Patel,100,100,83,71,88,30
296,April Ellis,97,55,32,47,69,57
297,Savannah Marquez,34,47,72,42,61,64
298,Rahul Singh,94,96,31,85,73,60
299,Aarav Choudhary,57,66,46,45,79,68
300,Ananya Reddy,74,70,96,56,52,100
301,Aarav Nair,41,66,100,58,46,58
302,Mrs. Elizabeth Johnson,99,42,83,84,49,95
303,Siddharth Sharma,64,56,88,46,95,95
304,Alyssa Hunt,62,80,58,80,94,64
305,Riya Patel,89,82,51,59,34,73
306,Aarav Iyer,57,100,79,71,91,66
307,Rahul Sharma,35,84,87,86,79,66
308,Tara Whitaker,38,76,72,93,57,92
309,Logan Petty,51,85,92,33,79,90
310,Karan Gupta,41,96,61,89,77,61
311,Christine Cantu,91,63,86,38,54,47
312,Jason Rivera,98,71,86,69,84,32
313,Aarav Reddy,53,66,34,84,40,90
314,Siddharth Nair,39,61,33,38,52,31
315,Tracey Burton,94,86,88,42,54,93
316,Lori Berry,77,82,65,37,54,75
317,Aarav Nair,32,99,85,41,84,50
318,Priya Sharma,86,48,82,47,65,92
319,Jeffrey Washington,61,91,94,99,98,78
320,Rahul Reddy,53,75,55,51,66,77
321,Vivaan Patel,86,70,88,60,41,30
322,Vivaan Nair,98,76,99,41,71,78
323,Karan Choudhary,79,40,66,58,79,93
324,Sara Davis,74,38,59,35,30,48
325,Brian Thompson,93,31,81,31,36,73
326,Cody Brown,40,91,92,86,92,79
327,Daniel Mcclure,95,71,98,75,56,66
328,Ananya Nair,60,53,94,63,30,73
329,Aditya Reddy,96,70,67,37,98,40
330,Ishika Mehta,57,90,54,70,69,97
331,Rahul Patel,65,35,80,73,97,91
332,Zachary Jackson,96,79,32,42,39,30
333,Vivaan Mehta,33,95,59,92,68,72
334,Kevin Avila,99,78,57,57,36,52
335,Siddharth Mehta,50,98,54,42,57,39
336,Parker Tapia,55,73,68,100,77,45
337,Siddharth Singh,53,80,76,51,53,54
338,Riya Patel,73,95,91,96,50,51
339,Julie Savage,79,54,60,84,40,44
340,Carrie Summers,37,86,31,71,38,72
341,Brian Ruiz,58,87,31,80,73,65
342,Riya Gupta,93,41,52,69,80,100
343,Vicki Ortiz,42,46,63,82,33,31
344,Melinda Mora,63,69,33,91,30,59
345,Roberto Church,57,36,88,31,57,37
346,Noah Cross,89,32,84,76,42,39
347,Aarav Iyer,84,31,91,68,80,71
348,Jamie Galvan,71,70,45,45,38,49
349,Jay White,77,61,47,82,67,83
350,Ananya Iyer,55,84,86,34,97,51
351,Priya Sharma,40,76,69,58,94,95
352,Ishika Sharma,52,40,35,75,51,33
353,Ishika Gupta,31,98,31,65,92,66
354,Ishika Nair,55,82,34,50,35,66
355,Priya Choudhary,36,69,95,74,91,35
356,Neil Jones,79,68,65,41,76,31
357,Vivaan Sharma,73,77,61,53,87,83
358,Bradley Sanchez,86,72,89,70,32,89
359,Janice Nelson,77,76,55,58,52,74
360,Brandon Wright,39,33,92,73,41,31
361,Jose Coleman,59,67,65,43,92,63
362,Rahul Mehta,78,63,97,93,73,37
363,Priya Sharma,54,94,85,98,75,52
364,Daniel Whitehead,37,45,63,70,97,30
365,Priya Patel,61,96,30,95,59,68
366,James Smith,96,52,47,31,91,62
367,Anthony Simpson,56,31,66,46,94,60
368,Lauren Smith,72,88,99,62,52,83
369,Veronica Mercado MD,97,72,50,81,56,100
370,Michael Brown,32,55,75,39,41,85
371,Priya Nair,32,49,84,84,45,72
372,Denise Villarreal,60,60,45,99,85,38
373,Anthony Burton,32,98,64,56,92,87
374,Jennifer Scott,99,44,100,100,30,70
375,Glen Lopez,83,94,50,92,89,32
376,Priya Nair,35,76,61,72,64,86
377,Bryan Lawrence,44,92,36,60,51,53
378,Devon Koch,72,86,96,46,60,86
379,Aimee Perez,75,71,56,52,73,46
380,Riya Gupta,78,38,39,64,94,66
381,Aarav Iyer,95,30,59,45,62,40
382,James Williams,95,88,53,51,51,68
383,Andrea Smith,75,88,61,36,69,100
384,Laurie Moyer,40,96,98,85,90,54
385,James Garcia,58,42,77,59,83,66
386,Aditya Gupta,65,69,73,87,50,99
387,Jason Ross,79,61,71,44,95,42
388,Joshua Taylor,83,77,92,81,91,70
389,Ishika Verma,31,66,52,32,46,65
390,Ananya Gupta,51,60,71,31,55,64
391,David Richards,75,81,98,33,42,47
392,Lisa Eaton,70,78,41,51,39,36
393,John Burgess,78,93,35,61,44,82
394,Cheyenne Johnson,95,87,32,74,95,37
395,Marie Jackson,41,39,51,99,92,87
396,Stephanie Park,45,48,88,57,97,67
397,Kaitlyn Salinas,68,41,41,68,68,66
398,Donna Young,71,37,48,58,70,66
399,Priya Patel,79,56,66,40,92,48
400,Ananya Patel,53,69,69,92,86,66
401,Priya Verma,42,60,66,36,41,92
402,Priya Mehta,30,86,79,55,75,34
403,Anthony Tucker,55,100,69,43,45,76
404,Brandon Garrison,84,71,40,35,44,86
405,Kimberly Robbins,48,60,73,72,38,56
406,Charles Carter,78,82,34,76,69,31
407,Chelsea Kline,31,68,92,59,73,62
408,Karan Gupta,56,62,31,97,59,70
409,Lisa Brock DDS,37,80,72,39,80,59
410,Timothy Henry,78,57,33,49,49,92
411,Paul Boone,58,96,48,60,100,69
412,Eddie Rhodes,78,63,54,71,74,51
413,Ishika Nair,96,53,31,67,74,37
414,Aarav Patel,61,96,42,58,99,63
415,Michael Smith,66,39,60,98,67,36
416,Siddharth Sharma,88,100,85,83,45,30
417,Amanda Miles,61,34,59,33,44,40
418,Scott Johnston,97,58,36,72,60,36
419,Aarav Nair,62,46,67,60,31,77
420,Joseph Henry,49,78,84,84,51,47
421,Siddharth Mehta,43,33,67,86,60,48
422,Tiffany Jones,98,43,34,45,77,65
423,Riya Gupta,97,40,80,68,99,43
424,Mark Riley,90,67,47,77,64,41
425,Catherine Parrish,66,72,100,58,74,34
426,Ishika Gupta,85,57,41,94,65,81
427,Destiny Lee,50,71,91,96,33,46
428,Alison Chen,55,42,32,36,47,31
429,Chelsea Martin,80,66,60,45,64,90
430,Aarav Patel,92,44,53,33,40,54
431,Aarav Reddy,74,95,55,73,98,40
432,Aarav Verma,79,57,98,43,46,98
433,Vivaan Choudhary,60,37,76,63,86,64
434,Michele Sanchez,42,41,41,77,75,82
435,Ishika Singh,40,69,71,63,77,49
436,Rahul Gupta,35,93,32,95,63,42
437,Rahul Gupta,50,80,58,37,58,48
438,Christina Howe,69,32,42,94,64,90
439,Dana Wilson,62,51,53,54,43,41
440,Tiffany Tucker,50,84,93,77,90,41
441,Mark Clark,99,42,91,89,51,78
442,Amy Moore,96,96,32,93,78,33
443,Keith Jones,39,98,39,58,56,98
444,Aarav Reddy,69,48,93,32,86,61
445,Stephanie Stone,38,51,36,39,75,100
446,Rahul Sharma,55,41,82,50,67,39
447,Karan Choudhary,43,95,31,36,47,91
448,Joseph Wang,69,60,98,94,68,40
449,Karan Reddy,64,58,53,47,75,55
450,Ananya Nair,97,42,79,86,68,62
451,Denise Hodge,46,81,98,83,34,95
452,Donald Lopez,74,48,63,55,54,43
453,John Douglas,93,80,100,87,62,78
454,Aditya Nair,95,96,95,36,73,60
455,Aditya Gupta,32,76,49,43,33,93
456,John Lopez,99,86,48,63,42,46
457,Riya Singh,36,92,72,90,61,75
458,Cameron Gray,81,85,78,44,61,95
459,Lauren Guzman,59,61,46,72,33,77
460,Theresa Alvarez,70,45,41,97,97,78
461,Jonathan Gonzalez,91,87,88,49,34,49
462,Edward Wilson,60,49,59,30,58,83
463,Mitchell Ramirez,90,54,80,60,41,41
464,Rhonda Morales DDS,86,53,83,84,84,50
465,Priya Iyer,90,42,37,62,84,32
466,Gina Moore,61,51,53,92,73,94
467,Ananya Mehta,61,68,97,73,69,38
468,Karan Verma,46,95,81,100,92,95
469,Aditya Patel,34,39,84,64,48,92
470,Rahul Sharma,88,88,55,79,32,30
471,Susan Mendoza,32,40,99,66,59,46
472,Siddharth Choudhary,81,92,45,68,55,92
473,Priya Sharma,93,68,65,57,67,85
474,Vivaan Iyer,74,51,43,54,45,63
475,Kimberly Robertson,88,95,80,82,65,34
476,Charles Sexton,63,86,44,55,89,41
477,Ananya Verma,51,51,55,69,53,82
478,Sarah Jones,73,44,47,82,70,44
479,Kayla Reilly,87,51,72,46,32,32
480,Ishika Choudhary,42,76,39,33,62,100
481,Aditya Choudhary,97,31,71,64,33,42
482,Priya Reddy,97,80,81,82,85,46
483,Kathleen Mcconnell,100,87,37,82,34,51
484,Joseph Miller,86,72,96,46,75,50
485,Ananya Gupta,50,44,88,87,90,83
486,Siddharth Nair,31,55,34,54,38,84
487,Barbara Williams,70,32,31,38,58,98
488,Brian Williams,66,82,100,74,50,47
489,Rahul Mehta,95,87,68,56,62,62
490,Benjamin Parker,57,31,82,41,71,68
491,Ronald Young,55,63,89,34,81,74
492,David Curry,47,71,88,70,96,38
493,Andrew Evans,46,44,93,44,52,39
494,Ishika Iyer,43,75,50,75,61,45
495,Vivaan Verma,93,96,55,84,99,69
496,Karan Iyer,70,33,90,73,30,42
497,Vivaan Nair,41,53,77,96,88,90
498,Carla Kelly,70,94,100,35,86,80
499,Christopher Butler,73,82,48,55,96,43
500,Riya Mehta,94,74,91,50,86,91
501,Riya Iyer,69,90,48,41,62,42
502,Erika Martin,68,63,85,82,68,32
503,Ishika Patel,69,53,76,98,60,78
504,Priya Gupta,48,83,57,41,56,92
505,Melanie Stanley,57,58,33,64,76,88
506,Rahul Sharma,61,43,76,65,36,87
507,Scott Nguyen,66,35,84,45,33,97
508,Julia Hamilton,36,94,78,80,85,55
509,Anthony Olsen,35,79,77,78,82,98
510,Kenneth Gallegos,51,65,80,88,80,66
511,Siddharth Mehta,42,59,75,92,93,72
512,Ishika Sharma,36,67,64,70,80,84
513,Aditya Sharma,30,85,50,37,43,38
514,Elizabeth Rodriguez,54,94,64,93,86,37
515,Aarav Sharma,72,61,94,54,88,58
516,Vivaan Nair,91,38,37,31,53,77
517,Melinda Gilmore,44,55,84,31,57,46
518,Aditya Mehta,55,48,62,72,95,90
519,Aarav Reddy,33,93,36,93,70,67
520,Priya Mehta,76,90,97,34,33,69
521,Aarav Iyer,37,81,37,45,54,87
522,Christina Jacobs,58,67,38,73,58,36
